"АЗС","Партнер","Регион","Мегарегион"
"7601",Ярославская топливная компания,Ярославская область,Центр
"7602",СТК,Ярославская область,Центр
"7603",СТК,Ярославская область,Центр
"7604",Ярославская топливная компания,Ярославская область,Центр
"7605",Ярославская топливная компания,Ярославская область,Центр
"7606",Ярославская топливная компания,Ярославская область,Центр
"7607",Ярославская топливная компания,Ярославская область,Центр
"7608",Ярославская топливная компания,Ярославская область,Центр
"7609",Нефтяная компания,Ярославская область,Центр
"7610",ЕВРОойл Надежда (Новосибирск),Ярославская область,Центр
"7611",МИК-Лизинг,Ярославская область,Центр
"7612",Тандем Плюс,Ярославская область,Центр
"7613",Ярославская топливная компания,Ярославская область,Центр
"7617",ИП Бобылев,Ярославская область,Центр
"7618",ЭНТИКОМ-ИНВЕСТ,Ярославская область,Центр
"7619",ЭНТИКОМ-ИНВЕСТ,Ярославская область,Центр
"7620",Ярославская топливная компания,Ярославская область,Центр
"7621",Ярославская топливная компания,Ярославская область,Центр
"7777",test network,Курганская область,
"7788",Тестовый партнер,Курганская область,
"7851",ГГМТ,Санкт-Петербург,
"8601",ИП Хусаинов,Ханты-Мансийский АО — Югра,Урал
"8602",ИП Хусаинов,Ханты-Мансийский АО — Югра,Урал
"8603",ИП Масленников(ИП Качаев),Ханты-Мансийский АО — Югра,Урал
"8604",Анушик,Ханты-Мансийский АО — Югра,Урал
"8605",ИП Романченко,Ханты-Мансийский АО — Югра,Урал
"8606",ИП Хусаинов,Ханты-Мансийский АО — Югра,Урал
"8787",test network,Московская область,Центр
"8888",test network,Санкт-Петербург,
"8901",Нефтепродуктсервис,Ямало-Ненецкий АО,Урал
"8999",Test_OC,,
"90",test network,Санкт-Петербург,
"9051",Евротранс,Московская область,Центр
"9101",КНК,Республика Адыгея,
"9102",КНК,Республика Адыгея,
"9103",КНК,Республика Адыгея,
"9104",КНК,Республика Адыгея,
"9105",Красголд,Республика Адыгея,
"9201",ИП Абдуллина,Республика Башкортостан,Урал
"9202",ИП Абдуллина,Республика Башкортостан,Урал
"9203",ИП Исаев,Республика Башкортостан,Урал
"9204",ИП Абдуллина,Республика Башкортостан,Урал
"9205",ИП Абдуллина,Республика Башкортостан,Урал
"9206",Тайга АЗС,Республика Башкортостан,Урал
"9207",ИП Абдуллина,Республика Башкортостан,Урал
"9208",ИП Абдуллина,Республика Башкортостан,Урал
"9401",Расул,Республика Алтай,Сибирь
"9402",Расул,Республика Алтай,Сибирь
"9403",Развитие АЗС,Республика Алтай,Сибирь
"9404",Развитие АЗС,Республика Алтай,Сибирь
"9901",Автотрейд,Москва,Центр
"9902",Софразвитие,Москва,Центр
"9903",Автотрейд,Москва,Центр
"9904",Автотрейд,Москва,Центр
"9905",Автотрейд,Москва,Центр
"9906",Автотрейд,Москва,Центр
"9907",Автотрейд,Москва,Центр
"9908",ТК АЗС Системы,Москва,Центр
"9951",ГГМТ,Москва,Центр
"9999",Евротранс,Москва,Центр
